id	en	pt	de	es	fr	hu	ru	el	th	zh	ja	hi	vi
locale	English	Portuguese	German	Spanish	French	Hungarian	Russian	Greek	Thai	Chinese	Japanese	Hindi	Vietnamese
sun	Sun	Sol	Sonne	Sol	Soleil	Nap	Солнце	Ήλιος	ดวงอาทิตย์	太阳	太陽	सूरज	Mặt trời
mon	Mon	seg	Montag	Lun	Lun	Hétfő	Пн	Δευ	จันทร์	星期一	月曜日	सोमवार	Thứ Hai
tue	Tue	ter	Di.	Mar	Mar	Kedd	Вт	Τρί	อังคาร	星期二	火曜日	मंगल	Thứ Ba
wed	Wed	qua	Heiraten	Casarse	Épouser	Házasodik	Обвенчались	Νυμφεύομαι	วันพุธ	星期三	水曜日	बुधवार	Thứ Tư
thur	Thur	Quinta-feira	Donnerstag	Jueves	Jeu	Csütörtök	Чт	Πέμ	วันพฤหัสบดี	周四	木曜日	गुरु	Thứ năm
fri	Fri	sex	Freitag	Vie	Ven	Péntek	Пятница	Παρ	ศุกร์	星期五	金曜日	शुक्र	Thứ Sáu
sat	Sat	Sentado	Sa	Se sentó	Assis	Ült	Сб	Σάβ	นั่ง	星期六	土曜日	बैठा	Đã ngồi
jan	Jan	janeiro	Januar	Ene	Jan	Január	Янв	Ιαν	ม.ค	一月	ジャン	जनवरी	Tháng một
feb	Feb	fevereiro	Februar	Feb	Fév	Február	февраль	Φεβ	กุมภาพันธ์	二月	2月	फ़रवरी	Tháng Hai
mar	Mar	Mar	Beschädigen	Mar	Mar	Március	март	Αφανίζω	มีนาคม	三月	3月	मार्च	Tháng 3
apr	Apr	abril	April	Abr	Avr	Április	Апр	Απρ	เมษายน	四月	4月	अप्रैल	Tháng Tư
jun	Jun	junho	Juni	Jun	Juin	Június	Джун	Ιούνιος	จุน	俊	ジュン	जून	Tháng Sáu
jul	Jul	julho	Jul	Jul	Juillet	Július	июль	Ιούλ	กรกฎาคม	七月	7月	जुलाई	Tháng bảy
aug	Aug	agosto	August	Ago	août	Augusztus	Август	Αυγ	ส.ค.	八月	8月	अगस्त	Tháng Tám
